X	Y	Z
0.884175 2.74091 -46.143
0.884175 2.74091 -46.143
0.884175 2.74091 -46.143
0.884175 2.74091 -46.143
0.884175 2.74091 -46.143
0.884175 2.74091 -46.143
0.884175 2.74091 -46.143
0.884466 2.74142 -46.1433
0.884466 2.74142 -46.1433
0.884466 2.74142 -46.1433
0.884466 2.74142 -46.1433
0.884758 2.74193 -46.1436
0.884758 2.74193 -46.1436
0.885041 2.74147 -46.1439
0.885041 2.74147 -46.1439
0.885331 2.74198 -46.1442
0.885331 2.74198 -46.1442
0.885331 2.74198 -46.1442
0.885622 2.74249 -46.1445
0.885622 2.74249 -46.1445
0.885622 2.74249 -46.1445
0.885914 2.74301 -46.1447
0.885914 2.74301 -46.1447
0.885914 2.74301 -46.1447
0.886205 2.74352 -46.145
0.886205 2.74352 -46.145
0.886496 2.74403 -46.1453
0.886496 2.74403 -46.1453
0.886787 2.74454 -46.1456
0.886787 2.74454 -46.1456
0.887078 2.74505 -46.1459
0.887078 2.74505 -46.1459
0.887369 2.74556 -46.1461
0.887369 2.74556 -46.1461
0.887661 2.74608 -46.1464
0.887661 2.74608 -46.1464
0.887952 2.74659 -46.1467
0.887401 2.74661 -46.147
0.887401 2.74661 -46.147
0.887692 2.74712 -46.1473
0.887692 2.74712 -46.1473
0.887692 2.74712 -46.1473
0.887692 2.74712 -46.1473
0.887984 2.74763 -46.1476
0.887984 2.74763 -46.1476
0.887984 2.74763 -46.1476
0.888275 2.74814 -46.1479
0.888275 2.74814 -46.1479
0.888275 2.74814 -46.1479
0.888275 2.74814 -46.1479
0.888275 2.74814 -46.1479
0.888566 2.74865 -46.1482
0.888566 2.74865 -46.1482
0.888566 2.74865 -46.1482
0.888566 2.74865 -46.1482
0.888566 2.74865 -46.1482
0.888566 2.74865 -46.1482
0.888848 2.74819 -46.1485
0.888848 2.74819 -46.1485
0.888848 2.74819 -46.1485
0.888848 2.74819 -46.1485
0.888848 2.74819 -46.1485
0.888848 2.74819 -46.1485
0.888848 2.74819 -46.1485
0.888848 2.74819 -46.1485
0.888848 2.74819 -46.1485
0.888848 2.74819 -46.1485
0.888848 2.74819 -46.1485
0.888848 2.74819 -46.1485
0.888848 2.74819 -46.1485
0.888848 2.74819 -46.1485
0.888848 2.74819 -46.1485
0.888848 2.74819 -46.1485
0.888848 2.74819 -46.1485
0.888848 2.74819 -46.1485
0.888848 2.74819 -46.1485
0.888848 2.74819 -46.1485
0.888848 2.74819 -46.1485
0.888848 2.74819 -46.1485
0.888848 2.74819 -46.1485
0.888848 2.74819 -46.1485
0.888848 2.74819 -46.1485
0.888848 2.74819 -46.1485
0.888848 2.74819 -46.1485
0.888848 2.74819 -46.1485
0.888848 2.74819 -46.1485
0.888848 2.74819 -46.1485
0.888848 2.74819 -46.1485
0.888848 2.74819 -46.1485
0.888848 2.74819 -46.1485
0.888848 2.74819 -46.1485
0.888848 2.74819 -46.1485
0.888848 2.74819 -46.1485
0.888848 2.74819 -46.1485
0.888848 2.74819 -46.1485
0.888848 2.74819 -46.1485
0.888848 2.74819 -46.1485
0.888848 2.74819 -46.1485
0.888848 2.74819 -46.1485
0.888848 2.74819 -46.1485
0.888848 2.74819 -46.1485
0.888848 2.74819 -46.1485
0.889132 2.74773 -46.1488
0.88858 2.74775 -46.1491
0.88858 2.74775 -46.1491
0.88858 2.74775 -46.1491
0.88858 2.74775 -46.1491
0.88858 2.74775 -46.1491
0.88858 2.74775 -46.1491
0.88858 2.74775 -46.1491
0.88858 2.74775 -46.1491
0.88858 2.74775 -46.1491
0.88858 2.74775 -46.1491
0.88858 2.74775 -46.1491
0.888029 2.74777 -46.1494
0.888312 2.74731 -46.1498
0.888312 2.74731 -46.1498
0.888312 2.74731 -46.1498
0.888312 2.74731 -46.1498
0.888312 2.74731 -46.1498
0.888312 2.74731 -46.1498
0.888312 2.74731 -46.1498
0.888312 2.74731 -46.1498
0.888312 2.74731 -46.1498
0.888594 2.74685 -46.1501
0.888594 2.74685 -46.1501
0.888594 2.74685 -46.1501
0.888594 2.74685 -46.1501
