Alpha1	Alpha2	Alpha3
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695782 -0.035737 0.0931406
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695724 -0.0357138 0.0931405
-0.00695745 -0.0357137 0.0931634
-0.00693441 -0.0357139 0.0931633
-0.00693441 -0.0357139 0.0931633
-0.00693441 -0.0357139 0.0931633
-0.00693441 -0.0357139 0.0931633
-0.00693441 -0.0357139 0.0931633
-0.00693441 -0.0357139 0.0931633
-0.00693461 -0.0357138 0.0931863
-0.00693461 -0.0357138 0.0931863
-0.00693461 -0.0357138 0.0931863
-0.00693461 -0.0357138 0.0931863
-0.00693461 -0.0357138 0.0931863
-0.00693461 -0.0357138 0.0931863
-0.00693461 -0.0357138 0.0931863
-0.00693482 -0.0357137 0.0932093
-0.00693482 -0.0357137 0.0932093
-0.00693482 -0.0357137 0.0932093
-0.00693482 -0.0357137 0.0932093
-0.00693464 -0.035714 0.0932318
-0.00693464 -0.035714 0.0932318
-0.00693445 -0.0356908 0.0932321
-0.00693445 -0.0356908 0.0932321
-0.00693465 -0.0356911 0.093255
-0.00693465 -0.0356911 0.093255
-0.00693465 -0.0356911 0.093255
-0.00693447 -0.035691 0.093278
-0.00693447 -0.035691 0.093278
-0.00693447 -0.035691 0.093278
-0.00693467 -0.0356909 0.0933006
-0.00693467 -0.0356909 0.0933006
-0.00693467 -0.0356909 0.0933006
-0.00693449 -0.0356912 0.0933235
-0.00693449 -0.0356912 0.0933235
-0.00693469 -0.0356911 0.0933465
-0.00693469 -0.0356911 0.0933465
-0.00693451 -0.035691 0.0933694
-0.00693451 -0.035691 0.0933694
-0.00693472 -0.0356913 0.0933924
-0.00693472 -0.0356913 0.0933924
-0.00693453 -0.0356907 0.0934153
-0.00693453 -0.0356907 0.0934153
-0.00693435 -0.035691 0.0934383
-0.00693435 -0.035691 0.0934383
-0.00693455 -0.0356913 0.0934609
-0.0069115 -0.0356912 0.0934608
-0.0069115 -0.0356912 0.0934608
-0.00691171 -0.0356911 0.0934837
-0.00691171 -0.0356911 0.0934837
-0.00691171 -0.0356911 0.0934837
-0.00691171 -0.0356911 0.0934837
-0.00691152 -0.035691 0.0935067
-0.00691152 -0.035691 0.0935067
-0.00691152 -0.035691 0.0935067
-0.00691134 -0.0356909 0.09353
-0.00691134 -0.0356909 0.09353
-0.00691134 -0.0356909 0.09353
-0.00691134 -0.0356909 0.09353
-0.00691134 -0.0356909 0.09353
-0.00691155 -0.0356908 0.0935526
-0.00691155 -0.0356908 0.0935526
-0.00691155 -0.0356908 0.0935526
-0.00691155 -0.0356908 0.0935526
-0.00691155 -0.0356908 0.0935526
-0.00691155 -0.0356908 0.0935526
-0.00691174 -0.0356679 0.0935524
-0.00691174 -0.0356679 0.0935524
-0.00691174 -0.0356679 0.0935524
-0.00691174 -0.0356679 0.0935524
-0.00691174 -0.0356679 0.0935524
-0.00691174 -0.0356679 0.0935524
-0.00691174 -0.0356679 0.0935524
-0.00691174 -0.0356679 0.0935524
-0.00691174 -0.0356679 0.0935524
-0.00691174 -0.0356679 0.0935524
-0.00691174 -0.0356679 0.0935524
-0.00691174 -0.0356679 0.0935524
-0.00691174 -0.0356679 0.0935524
-0.00691174 -0.0356679 0.0935524
-0.00691174 -0.0356679 0.0935524
-0.00691174 -0.0356679 0.0935524
-0.00691174 -0.0356679 0.0935524
-0.00691174 -0.0356679 0.0935524
-0.00691174 -0.0356679 0.0935524
-0.00691174 -0.0356679 0.0935524
-0.00691174 -0.0356679 0.0935524
-0.00691174 -0.0356679 0.0935524
-0.00691174 -0.0356679 0.0935524
-0.00691174 -0.0356679 0.0935524
-0.00691174 -0.0356679 0.0935524
-0.00691174 -0.0356679 0.0935524
-0.00691174 -0.0356679 0.0935524
-0.00691174 -0.0356679 0.0935524
-0.00691174 -0.0356679 0.0935524
-0.00691174 -0.0356679 0.0935524
-0.00691174 -0.0356679 0.0935524
-0.00691174 -0.0356679 0.0935524
-0.00691174 -0.0356679 0.0935524
-0.00691174 -0.0356679 0.0935524
-0.00691174 -0.0356679 0.0935524
-0.00691174 -0.0356679 0.0935524
-0.00691174 -0.0356679 0.0935524
-0.00691174 -0.0356679 0.0935524
-0.00691174 -0.0356679 0.0935524
-0.00691174 -0.0356679 0.0935524
-0.00691174 -0.0356679 0.0935524
-0.00691174 -0.0356679 0.0935524
-0.00691174 -0.0356679 0.0935524
-0.00691174 -0.0356679 0.0935524
-0.00691174 -0.0356679 0.0935524
-0.00691194 -0.0356451 0.0935527
-0.00688889 -0.0356454 0.0935522
-0.00688889 -0.0356454 0.0935522
